IPID,TTL,SRCIP,DSTIP,SPORT,DPORT,TSEQ,WINDS
42170,50,3045845977,3390658037,54504,2323,1168958237,14600
49959,49,245514517,3390657832,45561,2323,2621524868,14600
21321,55,609414689,3390656578,52841,2323,3669524972,14600
35648,51,2040331122,3390656551,4472,2323,2178111257,5840
21224,56,3036482734,3390658323,51762,2323,1201496770,5808
5910,49,3136753495,3390657478,37733,2323,838355719,4380
20571,49,3695562921,3390658258,35204,2323,305451587,5840
55408,48,2976642989,3390658345,52488,2323,4038732580,14600
51710,49,1908326533,3390657717,49830,2323,2310134139,14600
27117,51,3667819998,3390658343,47859,2323,1696449306,14600
5022,49,3695562921,3390658258,38815,2323,347443407,5840
64081,49,3695562921,3390658258,39838,2323,356940237,5840
57586,49,3695562921,3390658258,39911,2323,359490385,5840
6232,53,1907881829,3390657994,49716,2323,3325474689,14600
9619,47,2537743102,3390656651,4605,2323,1459961246,5808
60664,52,19026373,3390656706,36341,2323,1994121734,14520
28568,52,246379153,3390658537,35492,2323,2271131999,14520
54578,52,1907116621,3390657496,13493,2323,1506906270,14600
21319,49,1976354274,3390657906,55619,2323,2007840651,14600
58055,49,1908326533,3390657717,49855,2323,730525743,14600
52786,52,247134983,3390657454,56283,2323,488387847,14600
9620,47,2537743102,3390656651,4605,2323,1459961246,5808
17458,53,246460100,3390656628,41006,2323,4159109572,14600
7551,53,1907881829,3390657994,49730,2323,118598832,14600
24482,49,1768264172,3390657289,35757,2323,3698473693,5808
56078,48,2795249440,3390658347,38372,2323,3694732431,13900
20064,52,1934565672,3390656520,46211,2323,1028662008,5840
59350,50,3698958810,3390657003,34005,2323,3454934740,14600
36149,51,246409644,3390658454,52725,2323,3378811004,14600
49086,49,3205576743,3390658376,36785,2323,510455106,4380
9621,47,2537743102,3390656651,4605,2323,1459961246,5808
41980,46,1332227846,3390656707,41245,2323,4285020211,14600
34083,43,45605901,3390656570,54708,2323,599929261,14600
44043,52,998159623,3390656894,50359,2323,3323935890,14520
59835,49,3137412110,3390656791,52058,2323,2908414592,14600
17468,53,246448449,3390658488,53840,2323,3833389571,14600
30194,52,1906487529,3390656639,7476,2323,678938640,14600
53991,47,1744336306,3390658153,58028,2323,1451645067,14600
58395,54,977225136,3390658243,3501,2323,2208520342,5840
48393,49,3695562921,3390658258,56785,2323,594359379,5840
57227,53,246460100,3390656628,41068,2323,3720486403,14600
